,Age Group,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
2118,25-29 years,Part-time,England,2014/15,Third class honours/Pass,835
2119,25-29 years,Part-time,England,2014/15,Unclassified,275
2120,25-29 years,Full-time,Northern Ireland,2014/15,First class honours,180
2121,25-29 years,Full-time,Northern Ireland,2014/15,Upper second class honours,305
2122,25-29 years,Full-time,Northern Ireland,2014/15,Lower second class honours,140
2123,25-29 years,Full-time,Northern Ireland,2014/15,Third class honours/Pass,35
2124,25-29 years,Full-time,Northern Ireland,2014/15,Unclassified,55
2125,25-29 years,Part-time,Northern Ireland,2014/15,First class honours,15
2126,25-29 years,Part-time,Northern Ireland,2014/15,Upper second class honours,65
2127,25-29 years,Part-time,Northern Ireland,2014/15,Lower second class honours,65
2128,25-29 years,Part-time,Northern Ireland,2014/15,Third class honours/Pass,15
2129,25-29 years,Part-time,Northern Ireland,2014/15,Unclassified,0
2130,25-29 years,Full-time,Scotland,2014/15,First class honours,305
2131,25-29 years,Full-time,Scotland,2014/15,Upper second class honours,785
2132,25-29 years,Full-time,Scotland,2014/15,Lower second class honours,390
2133,25-29 years,Full-time,Scotland,2014/15,Third class honours/Pass,70
2134,25-29 years,Full-time,Scotland,2014/15,Unclassified,1230
2135,25-29 years,Part-time,Scotland,2014/15,First class honours,30
2136,25-29 years,Part-time,Scotland,2014/15,Upper second class honours,50
2137,25-29 years,Part-time,Scotland,2014/15,Lower second class honours,45
2138,25-29 years,Part-time,Scotland,2014/15,Third class honours/Pass,25
2139,25-29 years,Part-time,Scotland,2014/15,Unclassified,275
2140,25-29 years,Full-time,Wales,2014/15,First class honours,285
2141,25-29 years,Full-time,Wales,2014/15,Upper second class honours,500
2142,25-29 years,Full-time,Wales,2014/15,Lower second class honours,320
2143,25-29 years,Full-time,Wales,2014/15,Third class honours/Pass,85
2144,25-29 years,Full-time,Wales,2014/15,Unclassified,115
2145,25-29 years,Part-time,Wales,2014/15,First class honours,40
2146,25-29 years,Part-time,Wales,2014/15,Upper second class honours,75
2147,25-29 years,Part-time,Wales,2014/15,Lower second class honours,60
2148,25-29 years,Part-time,Wales,2014/15,Third class honours/Pass,35
2149,25-29 years,Part-time,Wales,2014/15,Unclassified,15
2150,25-29 years,Full-time,England,2015/16,First class honours,4440
2151,25-29 years,Full-time,England,2015/16,Upper second class honours,7305
2152,25-29 years,Full-time,England,2015/16,Lower second class honours,3985
2153,25-29 years,Full-time,England,2015/16,Third class honours/Pass,1265
2154,25-29 years,Full-time,England,2015/16,Unclassified,2340
2155,25-29 years,Part-time,England,2015/16,First class honours,840
2156,25-29 years,Part-time,England,2015/16,Upper second class honours,1725
2157,25-29 years,Part-time,England,2015/16,Lower second class honours,1420
2158,25-29 years,Part-time,England,2015/16,Third class honours/Pass,820
2159,25-29 years,Part-time,England,2015/16,Unclassified,245
2160,25-29 years,Full-time,Northern Ireland,2015/16,First class honours,175
2161,25-29 years,Full-time,Northern Ireland,2015/16,Upper second class honours,355
2162,25-29 years,Full-time,Northern Ireland,2015/16,Lower second class honours,150
2163,25-29 years,Full-time,Northern Ireland,2015/16,Third class honours/Pass,30
2164,25-29 years,Full-time,Northern Ireland,2015/16,Unclassified,75
2165,25-29 years,Part-time,Northern Ireland,2015/16,First class honours,15
2166,25-29 years,Part-time,Northern Ireland,2015/16,Upper second class honours,60
2167,25-29 years,Part-time,Northern Ireland,2015/16,Lower second class honours,40
2168,25-29 years,Part-time,Northern Ireland,2015/16,Third class honours/Pass,20
2169,25-29 years,Part-time,Northern Ireland,2015/16,Unclassified,0
2170,25-29 years,Full-time,Scotland,2015/16,First class honours,350
2171,25-29 years,Full-time,Scotland,2015/16,Upper second class honours,795
2172,25-29 years,Full-time,Scotland,2015/16,Lower second class honours,395
2173,25-29 years,Full-time,Scotland,2015/16,Third class honours/Pass,75
2174,25-29 years,Full-time,Scotland,2015/16,Unclassified,1185
2175,25-29 years,Part-time,Scotland,2015/16,First class honours,30
2176,25-29 years,Part-time,Scotland,2015/16,Upper second class honours,70
2177,25-29 years,Part-time,Scotland,2015/16,Lower second class honours,45
2178,25-29 years,Part-time,Scotland,2015/16,Third class honours/Pass,35
2179,25-29 years,Part-time,Scotland,2015/16,Unclassified,240
2180,25-29 years,Full-time,Wales,2015/16,First class honours,310
2181,25-29 years,Full-time,Wales,2015/16,Upper second class honours,495
2182,25-29 years,Full-time,Wales,2015/16,Lower second class honours,290
2183,25-29 years,Full-time,Wales,2015/16,Third class honours/Pass,80
2184,25-29 years,Full-time,Wales,2015/16,Unclassified,130
2185,25-29 years,Part-time,Wales,2015/16,First class honours,40
2186,25-29 years,Part-time,Wales,2015/16,Upper second class honours,60
2187,25-29 years,Part-time,Wales,2015/16,Lower second class honours,30
2188,25-29 years,Part-time,Wales,2015/16,Third class honours/Pass,30
2189,25-29 years,Part-time,Wales,2015/16,Unclassified,5
2190,25-29 years,Full-time,England,2016/17,First class honours,5125
2191,25-29 years,Full-time,England,2016/17,Upper second class honours,7535
2192,25-29 years,Full-time,England,2016/17,Lower second class honours,4085
2193,25-29 years,Full-time,England,2016/17,Third class honours/Pass,1315
2194,25-29 years,Full-time,England,2016/17,Unclassified,2245
2195,25-29 years,Part-time,England,2016/17,First class honours,920
2196,25-29 years,Part-time,England,2016/17,Upper second class honours,1625
2197,25-29 years,Part-time,England,2016/17,Lower second class honours,1320
2198,25-29 years,Part-time,England,2016/17,Third class honours/Pass,815
2199,25-29 years,Part-time,England,2016/17,Unclassified,220
2200,25-29 years,Full-time,Northern Ireland,2016/17,First class honours,160
2201,25-29 years,Full-time,Northern Ireland,2016/17,Upper second class honours,330
2202,25-29 years,Full-time,Northern Ireland,2016/17,Lower second class honours,155
2203,25-29 years,Full-time,Northern Ireland,2016/17,Third class honours/Pass,20
2204,25-29 years,Full-time,Northern Ireland,2016/17,Unclassified,75
2205,25-29 years,Part-time,Northern Ireland,2016/17,First class honours,25
2206,25-29 years,Part-time,Northern Ireland,2016/17,Upper second class honours,70
2207,25-29 years,Part-time,Northern Ireland,2016/17,Lower second class honours,40
2208,25-29 years,Part-time,Northern Ireland,2016/17,Third class honours/Pass,20
2209,25-29 years,Part-time,Northern Ireland,2016/17,Unclassified,0
2210,25-29 years,Full-time,Scotland,2016/17,First class honours,380
2211,25-29 years,Full-time,Scotland,2016/17,Upper second class honours,915
2212,25-29 years,Full-time,Scotland,2016/17,Lower second class honours,365
2213,25-29 years,Full-time,Scotland,2016/17,Third class honours/Pass,80
2214,25-29 years,Full-time,Scotland,2016/17,Unclassified,1330
2215,25-29 years,Part-time,Scotland,2016/17,First class honours,50
2216,25-29 years,Part-time,Scotland,2016/17,Upper second class honours,85
2217,25-29 years,Part-time,Scotland,2016/17,Lower second class honours,70
2218,25-29 years,Part-time,Scotland,2016/17,Third class honours/Pass,30
2219,25-29 years,Part-time,Scotland,2016/17,Unclassified,200
2220,25-29 years,Full-time,Wales,2016/17,First class honours,385
2221,25-29 years,Full-time,Wales,2016/17,Upper second class honours,560
2222,25-29 years,Full-time,Wales,2016/17,Lower second class honours,305
2223,25-29 years,Full-time,Wales,2016/17,Third class honours/Pass,80
2224,25-29 years,Full-time,Wales,2016/17,Unclassified,140
2225,25-29 years,Part-time,Wales,2016/17,First class honours,50
2226,25-29 years,Part-time,Wales,2016/17,Upper second class honours,95
2227,25-29 years,Part-time,Wales,2016/17,Lower second class honours,55
2228,25-29 years,Part-time,Wales,2016/17,Third class honours/Pass,20
2229,25-29 years,Part-time,Wales,2016/17,Unclassified,5
2230,25-29 years,Full-time,England,2017/18,First class honours,5445
2231,25-29 years,Full-time,England,2017/18,Upper second class honours,7475
2232,25-29 years,Full-time,England,2017/18,Lower second class honours,3980
2233,25-29 years,Full-time,England,2017/18,Third class honours/Pass,1240
2234,25-29 years,Full-time,England,2017/18,Unclassified,2285
2235,25-29 years,Part-time,England,2017/18,First class honours,915
2236,25-29 years,Part-time,England,2017/18,Upper second class honours,1420
2237,25-29 years,Part-time,England,2017/18,Lower second class honours,1110
2238,25-29 years,Part-time,England,2017/18,Third class honours/Pass,775
2239,25-29 years,Part-time,England,2017/18,Unclassified,160
2240,25-29 years,Full-time,Northern Ireland,2017/18,First class honours,175
2241,25-29 years,Full-time,Northern Ireland,2017/18,Upper second class honours,320
2242,25-29 years,Full-time,Northern Ireland,2017/18,Lower second class honours,135
2243,25-29 years,Full-time,Northern Ireland,2017/18,Third class honours/Pass,30
2244,25-29 years,Full-time,Northern Ireland,2017/18,Unclassified,65
2245,25-29 years,Part-time,Northern Ireland,2017/18,First class honours,30
2246,25-29 years,Part-time,Northern Ireland,2017/18,Upper second class honours,55
2247,25-29 years,Part-time,Northern Ireland,2017/18,Lower second class honours,55
2248,25-29 years,Part-time,Northern Ireland,2017/18,Third class honours/Pass,15
2249,25-29 years,Part-time,Northern Ireland,2017/18,Unclassified,5
2250,25-29 years,Full-time,Scotland,2017/18,First class honours,435
2251,25-29 years,Full-time,Scotland,2017/18,Upper second class honours,925
2252,25-29 years,Full-time,Scotland,2017/18,Lower second class honours,390
2253,25-29 years,Full-time,Scotland,2017/18,Third class honours/Pass,95
2254,25-29 years,Full-time,Scotland,2017/18,Unclassified,1355
2255,25-29 years,Part-time,Scotland,2017/18,First class honours,30
2256,25-29 years,Part-time,Scotland,2017/18,Upper second class honours,75
2257,25-29 years,Part-time,Scotland,2017/18,Lower second class honours,75
2258,25-29 years,Part-time,Scotland,2017/18,Third class honours/Pass,35
2259,25-29 years,Part-time,Scotland,2017/18,Unclassified,185
2260,25-29 years,Full-time,Wales,2017/18,First class honours,410
2261,25-29 years,Full-time,Wales,2017/18,Upper second class honours,545
2262,25-29 years,Full-time,Wales,2017/18,Lower second class honours,315
2263,25-29 years,Full-time,Wales,2017/18,Third class honours/Pass,75
2264,25-29 years,Full-time,Wales,2017/18,Unclassified,105
2265,25-29 years,Part-time,Wales,2017/18,First class honours,40
2266,25-29 years,Part-time,Wales,2017/18,Upper second class honours,70
2267,25-29 years,Part-time,Wales,2017/18,Lower second class honours,35
2268,25-29 years,Part-time,Wales,2017/18,Third class honours/Pass,20
2269,25-29 years,Part-time,Wales,2017/18,Unclassified,5
2270,25-29 years,Full-time,England,2018/19,First class honours,5590
2271,25-29 years,Full-time,England,2018/19,Upper second class honours,7480
2272,25-29 years,Full-time,England,2018/19,Lower second class honours,4010
2273,25-29 years,Full-time,England,2018/19,Third class honours/Pass,1175
2274,25-29 years,Full-time,England,2018/19,Unclassified,2360
2275,25-29 years,Part-time,England,2018/19,First class honours,1055
2276,25-29 years,Part-time,England,2018/19,Upper second class honours,1610
2277,25-29 years,Part-time,England,2018/19,Lower second class honours,1160
2278,25-29 years,Part-time,England,2018/19,Third class honours/Pass,685
2279,25-29 years,Part-time,England,2018/19,Unclassified,155
2280,25-29 years,Full-time,Northern Ireland,2018/19,First class honours,190
2281,25-29 years,Full-time,Northern Ireland,2018/19,Upper second class honours,360
2282,25-29 years,Full-time,Northern Ireland,2018/19,Lower second class honours,135
2283,25-29 years,Full-time,Northern Ireland,2018/19,Third class honours/Pass,20
2284,25-29 years,Full-time,Northern Ireland,2018/19,Unclassified,80
2285,25-29 years,Part-time,Northern Ireland,2018/19,First class honours,45
2286,25-29 years,Part-time,Northern Ireland,2018/19,Upper second class honours,75
2287,25-29 years,Part-time,Northern Ireland,2018/19,Lower second class honours,40
2288,25-29 years,Part-time,Northern Ireland,2018/19,Third class honours/Pass,10
2289,25-29 years,Part-time,Northern Ireland,2018/19,Unclassified,0
2290,25-29 years,Full-time,Scotland,2018/19,First class honours,470
2291,25-29 years,Full-time,Scotland,2018/19,Upper second class honours,875
2292,25-29 years,Full-time,Scotland,2018/19,Lower second class honours,380
2293,25-29 years,Full-time,Scotland,2018/19,Third class honours/Pass,95
2294,25-29 years,Full-time,Scotland,2018/19,Unclassified,1330
2295,25-29 years,Part-time,Scotland,2018/19,First class honours,60
2296,25-29 years,Part-time,Scotland,2018/19,Upper second class honours,135
2297,25-29 years,Part-time,Scotland,2018/19,Lower second class honours,55
2298,25-29 years,Part-time,Scotland,2018/19,Third class honours/Pass,35
2299,25-29 years,Part-time,Scotland,2018/19,Unclassified,195
2300,25-29 years,Full-time,Wales,2018/19,First class honours,440
2301,25-29 years,Full-time,Wales,2018/19,Upper second class honours,555
2302,25-29 years,Full-time,Wales,2018/19,Lower second class honours,270
2303,25-29 years,Full-time,Wales,2018/19,Third class honours/Pass,70
2304,25-29 years,Full-time,Wales,2018/19,Unclassified,105
2305,25-29 years,Part-time,Wales,2018/19,First class honours,65
2306,25-29 years,Part-time,Wales,2018/19,Upper second class honours,65
2307,25-29 years,Part-time,Wales,2018/19,Lower second class honours,40
2308,25-29 years,Part-time,Wales,2018/19,Third class honours/Pass,20
2309,25-29 years,Part-time,Wales,2018/19,Unclassified,0
2310,25-29 years,Full-time,England,2019/20,First class honours,6355
2311,25-29 years,Full-time,England,2019/20,Upper second class honours,7360
2312,25-29 years,Full-time,England,2019/20,Lower second class honours,3170
2313,25-29 years,Full-time,England,2019/20,Third class honours/Pass,860
2314,25-29 years,Full-time,England,2019/20,Unclassified,2475
2315,25-29 years,Part-time,England,2019/20,First class honours,1050
2316,25-29 years,Part-time,England,2019/20,Upper second class honours,1165
